a2622612.565365
Narit-cm 26/02/2026 12:54:48 26/02/2026 12:56:53 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
5.69109	0.000533946	0	0	0
5.69066	0.000550875	0	0	0
5.69017	0.000541406	0	0	0
5.68995	0.000537708	0	0	0
5.69013	0.00053479	0	0	0
5.68951	0.000538811	0.0166597	0.0166632	0
5.69036	0.000550811	0.0166597	0.0166632	0
5.68968	0.00056975	0	0	0
5.68992	0.00052973	0	0	0
5.691	0.000538552	0	0	0
5.69036	0.000532973	0	0	0
5.69005	0.000538162	0.0333195	0.0234645	0
5.68987	0.000538876	0.0333195	0.0234645	0
5.68985	0.000545168	0	0	0
5.69043	0.000528239	0.0333195	0.0234645	0
5.68999	0.000544389	0	0	0
5.69066	0.000538487	0	0	0
5.69077	0.000536411	0	0	0
5.6905	0.000542184	0	0	0
5.69072	0.00053213	0	0	0
5.69003	0.000557816	0.0666389	0.0333264	0
5.68992	0.000569945	0.0166597	0.0166632	0
5.69039	0.000546141	0.0166597	0.0166632	0
5.69116	0.000532455	0	0	0
5.69	0.000544389	0	0	0
5.68951	0.000526358	0	0	0
5.68993	0.000534595	0	0	0
5.69048	0.000536022	0	0	0
5.69043	0.000547049	0	0	0
5.69136	0.000539395	0	0	0
5.6904	0.000540043	0	0	0
5.69014	0.000547049	0.0166597	0.0166632	0
5.69099	0.000523114	0	0	0
5.69145	0.000541081	0.0166597	0.0166632	0
5.69101	0.000533557	0.0166597	0.0166632	0
5.69107	0.000543611	0.0166597	0.0166632	0
5.69065	0.000528628	0	0	0
5.69027	0.00052733	0	0	0
5.69078	0.000533363	0.0166597	0.0166632	0
5.69136	0.000552367	0.0166597	0.0166632	0
5.69135	0.000540303	0	0	0
5.69053	0.000534141	0	0	0
5.68914	0.000521363	0.0166597	0.0166632	0
5.69041	0.00054173	0	0	0
