a2672316.421332
Narit-cm 23/07/2026 16:40:13 23/07/2026 16:42:13 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 05024 0 0750 3.75 00532.p 0 0 01 000 16 002401 0.500 BT0
1 2 1 04090 0 0750 3.75 00532.p 0 0 01 000 16 002401 0.500 S2A0
1 1 1 05024 0 0750 3.75 00532.p 0 0 00 000 00 002401 3.1746 BC0
1 3 1 04090 0 0750 3.75 00532.p 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 05024 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .p Analog 0 	532.000 .p Analog StErr 0 	532.000 .p Photon Counting 0 	532.000 .p PC StErr 0 	0.000 .o Overflow Info 0 
6.02651	0.00104415	1.34944	0.147248	0
6.02659	0.00104934	1.4494	0.15609	0
6.02693	0.00105246	1.29946	0.148608	0
6.0264	0.0010317	1.41608	0.152689	0
6.02533	0.000995312	1.14952	0.136366	0
6.02616	0.00100828	1.46606	0.15507	0
6.0278	0.00106231	1.2828	0.145888	0
6.02869	0.0010784	1.78259	0.173433	0
6.02724	0.00104065	1.0329	0.129565	0
6.02673	0.00102632	1.46606	0.15507	0
6.02713	0.000977734	1.13286	0.135346	0
6.02536	0.00098422	1.1162	0.134326	0
6.02536	0.00100134	1.1995	0.141127	0
6.0283	0.00101133	1.29946	0.144868	0
6.02736	0.00102495	1.38276	0.149289	0
6.02681	0.00100621	1.2828	0.145888	0
6.02602	0.00100264	1.29946	0.146568	0
6.0275	0.00109196	1.46606	0.15711	0
6.02704	0.00101886	1.09954	0.133646	0
6.02623	0.00101905	1.26614	0.144868	0
6.02577	0.00102392	1.29946	0.146568	0
6.02744	0.00105823	1.4494	0.15609	0
6.02797	0.00103326	1.51603	0.15575	0
6.02774	0.00102846	1.56601	0.160171	0
6.02857	0.00108171	1.54935	0.161191	0
6.02715	0.0010136	1.2828	0.143848	0
6.02548	0.000989604	1.14952	0.140447	0
6.02646	0.000999917	1.23282	0.143167	0
6.02652	0.0010029	1.21616	0.142147	0
6.02472	0.00102859	1.24948	0.143848	0
6.02554	0.0010088	1.04956	0.134666	0
6.02625	0.00104513	1.4494	0.15439	0
6.02567	0.000994404	1.26614	0.142827	0
6.02636	0.00103968	1.26614	0.144868	0
6.02816	0.0010747	1.43274	0.153709	0
6.02564	0.00102593	1.1995	0.139087	0
6.02446	0.000995571	1.01624	0.132625	0
6.02618	0.000982793	1.06622	0.131605	0
6.0254	0.000999009	1.56601	0.161871	0
6.02569	0.000967486	1.01624	0.130585	0
6.02686	0.000989409	1.04956	0.132625	0
6.02629	0.0010162	1.24948	0.143848	0
6.02496	0.00100323	0.949604	0.124464	0
6.02616	0.000990123	1.2828	0.143848	0
6.02868	0.00101899	1.3661	0.148268	0
6.02741	0.00101607	1.2828	0.145888	0
6.02512	0.000998944	1.31612	0.149289	0
6.02632	0.000995636	1.24948	0.142147	0
6.02695	0.00100705	1.38276	0.152689	0
6.02665	0.00101023	1.4494	0.15439	0
6.02586	0.00101672	1.1995	0.139087	0
6.02404	0.00095873	1.01624	0.128545	0
6.0248	0.000969691	1.08288	0.134666	0
6.02872	0.0010378	1.66597	0.167992	0
6.02771	0.00103423	1.14952	0.136366	0
6.02538	0.00104448	1.4494	0.152689	0
6.02743	0.00104149	1.4494	0.15609	0
6.02726	0.000998296	1.26614	0.146908	0
6.0262	0.0010186	1.43274	0.15711	0
6.02568	0.00101951	1.23282	0.141127	0
6.02567	0.00102975	1.31612	0.147588	0
6.02656	0.00100115	1.2828	0.143848	0
6.02927	0.00102761	1.38276	0.150989	0
6.02732	0.000988177	1.29946	0.146568	0
6.02463	0.000964178	1.13286	0.135346	0
6.02606	0.000991226	1.04956	0.130585	0
6.02867	0.00100024	1.39942	0.153709	0
6.02753	0.00105499	1.16618	0.143167	0
6.02825	0.00103384	1.33278	0.146568	0
6.02759	0.00100387	1.29946	0.148608	0
6.02775	0.00100893	1.29946	0.144868	0
