a2672316.531416
Narit-cm 23/07/2026 16:51:14 23/07/2026 16:53:14 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 05024 0 0750 3.75 00532.s 0 0 01 000 16 002401 0.500 BT0
1 2 1 04090 0 0750 3.75 00532.s 0 0 01 000 16 002401 0.500 S2A0
1 1 1 05024 0 0750 3.75 00532.s 0 0 00 000 00 002401 3.1746 BC0
1 3 1 04090 0 0750 3.75 00532.s 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 05024 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .s Analog 0 	532.000 .s Analog StErr 0 	532.000 .s Photon Counting 0 	532.000 .s PC StErr 0 	0.000 .o Overflow Info 0 
6.00556	0.000595695	0	0	0
6.00541	0.000589469	0	0	0
6.00468	0.000583371	0	0	0
6.0045	0.000587782	0	0	0
6.00589	0.000582009	0	0	0
6.00636	0.000602895	0	0	0
6.00545	0.000595306	0	0	0
6.00578	0.000589014	0	0	0
6.00615	0.000581426	0	0	0
6.00586	0.000601273	0	0	0
6.00524	0.000592063	0	0	0
6.00444	0.000599587	0	0	0
6.00548	0.000601273	0	0	0
6.00587	0.000594009	0	0	0
6.00531	0.000606981	0	0	0
6.00541	0.000600819	0	0	0
6.00563	0.00059362	0	0	0
6.00573	0.000597187	0	0	0
6.00612	0.000612041	0	0	0
6.00556	0.000597511	0	0	0
6.00485	0.000600949	0	0	0
6.00453	0.000598679	0	0	0
6.0056	0.000597836	0	0	0
6.00512	0.000587523	0	0	0
6.00528	0.000606462	0	0	0
6.00586	0.000606203	0	0	0
6.00485	0.000585901	0	0	0
6.00457	0.000602895	0	0	0
6.0045	0.000609316	0	0	0
6.00562	0.000599782	0	0	0
6.00545	0.000601403	0	0	0
6.00527	0.000591479	0.0166597	0.0166632	0
6.0049	0.000597317	0	0	0
6.00486	0.000591609	0	0	0
6.00556	0.000596214	0	0	0
6.00629	0.000597317	0	0	0
6.00545	0.000599976	0	0	0
6.00506	0.000586744	0	0	0
6.00515	0.000590701	0	0	0
6.00548	0.000598095	0	0	0
6.00577	0.000602765	0	0	0
6.00501	0.000599911	0	0	0
6.00536	0.000585706	0	0	0
6.00553	0.000603154	0	0	0
6.00479	0.000606852	0	0	0
6.00488	0.000599068	0	0	0
6.00537	0.000596409	0	0	0
6.00513	0.000592712	0	0	0
6.00634	0.000596409	0	0	0
6.00563	0.000590506	0	0	0
6.00484	0.000594722	0	0	0
6.00472	0.000607046	0	0	0
6.00513	0.000595825	0	0	0
6.00491	0.000584734	0	0	0
6.00469	0.000594074	0	0	0
6.00494	0.000593685	0	0	0
6.00466	0.000593749	0	0	0
6.00527	0.000592452	0	0	0
6.00581	0.000573253	0	0	0
6.00547	0.000582009	0	0	0
6.00548	0.000580582	0	0	0
6.00536	0.000587004	0	0	0
6.00555	0.000585447	0	0	0
6.00531	0.000603154	0	0	0
6.00559	0.000615413	0	0	0
