a2672316.473539
Narit-cm 23/07/2026 16:45:35 23/07/2026 16:47:35 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 05024 0 0750 3.75 00532.s 0 0 01 000 16 002401 0.500 BT0
1 2 1 04090 0 0750 3.75 00532.s 0 0 01 000 16 002401 0.500 S2A0
1 1 1 05024 0 0750 3.75 00532.s 0 0 00 000 00 002401 3.1746 BC0
1 3 1 04090 0 0750 3.75 00532.s 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 05024 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .s Analog 0 	532.000 .s Analog StErr 0 	532.000 .s Photon Counting 0 	532.000 .s PC StErr 0 	0.000 .o Overflow Info 0 
6.00759	0.000584344	0	0	0
6.00797	0.000588366	0	0	0
6.00813	0.000594398	0	0	0
6.00756	0.000600236	0	0	0
6.0072	0.000601857	0	0	0
6.00687	0.000618267	0	0	0
6.0071	0.000590506	0	0	0
6.00717	0.000585123	0	0	0
6.00726	0.000594398	0	0	0
6.00689	0.000594593	0	0	0
6.00625	0.000599911	0	0	0
6.00663	0.000594852	0	0	0
6.00683	0.000600106	0	0	0
6.00708	0.000601338	0	0	0
6.00729	0.000596863	0	0	0
6.00624	0.000607371	0	0	0
6.00751	0.000589079	0	0	0
6.00794	0.000600041	0	0	0
6.00756	0.000597641	0	0	0
6.00752	0.000597965	0	0	0
6.00808	0.000589404	0	0	0
6.00805	0.000588236	0	0	0
6.00756	0.000586161	0	0	0
6.00689	0.000580388	0	0	0
6.00716	0.000592582	0	0	0
6.00829	0.000580258	0	0	0
6.0076	0.000591285	0	0	0
6.00719	0.000601273	0	0	0
6.0076	0.000599392	0	0	0
6.00685	0.000596214	0	0	0
6.00672	0.00058856	0	0	0
6.00633	0.000609641	0	0	0
6.00692	0.000595306	0	0	0
6.00677	0.000584669	0	0	0
6.00606	0.000587977	0	0	0
6.00636	0.000589533	0	0	0
6.00633	0.000587198	0	0	0
6.00695	0.000599003	0	0	0
6.00801	0.000589663	0	0	0
6.00761	0.000584928	0	0	0
6.00792	0.000590506	0	0	0
6.00733	0.000577469	0	0	0
6.008	0.00059096	0	0	0
6.00828	0.000594333	0	0	0
6.00802	0.00059109	0	0	0
6.00861	0.000591739	0	0	0
6.00796	0.000586874	0	0	0
6.00843	0.000585577	0	0	0
6.00853	0.000597122	0	0	0
6.00658	0.000598355	0	0	0
6.00683	0.000595566	0	0	0
6.00749	0.000575847	0	0	0
6.00635	0.000597576	0	0	0
6.0065	0.000592712	0	0	0
6.00651	0.000581944	0	0	0
6.00675	0.000585706	0	0	0
6.00762	0.000588366	0	0	0
6.00697	0.000589728	0	0	0
6.00643	0.000584474	0	0	0
6.00705	0.000592841	0	0	0
6.00625	0.000589079	0	0	0
6.0068	0.000586161	0	0	0
6.00752	0.000594009	0	0	0
6.00827	0.000609835	0	0	0
6.00766	0.000586744	0	0	0
6.00757	0.000594982	0	0	0
6.0078	0.000583631	0	0	0
6.00776	0.000594268	0	0	0
6.00771	0.000587328	0	0	0
6.00723	0.000588431	0	0	0
6.00825	0.000597771	0	0	0
6.00762	0.000599133	0	0	0
6.0072	0.000582204	0	0	0
6.00782	0.000584669	0	0	0
6.00789	0.000596084	0	0	0
6.00744	0.000589793	0	0	0
6.00631	0.000599652	0	0	0
6.00622	0.000608279	0	0	0
6.00695	0.000583047	0	0	0
6.00695	0.000580842	0	0	0
6.00751	0.000589014	0	0	0
6.00608	0.00058856	0	0	0
6.00625	0.000587912	0	0	0
6.00725	0.000589144	0	0	0
6.00704	0.00059349	0	0	0
6.00724	0.000592258	0	0	0
6.0079	0.000588496	0	0	0
6.00835	0.000596928	0	0	0
6.00703	0.000600301	0	0	0
6.0071	0.000586031	0	0	0
6.00702	0.000589209	0	0	0
6.0073	0.000575718	0	0	0
6.00711	0.000585317	0	0	0
6.00727	0.000588366	0	0	0
6.00795	0.000597836	0	0	0
6.00704	0.000592841	0	0	0
6.00835	0.000603803	0	0	0
6.00811	0.000591933	0	0	0
6.00656	0.000569686	0	0	0
6.00689	0.000593749	0	0	0
6.00721	0.00060296	0	0	0
6.0063	0.000597187	0	0	0
6.00627	0.000599911	0	0	0
6.00704	0.000584863	0	0	0
6.00653	0.000604517	0	0	0
6.00659	0.000606981	0	0	0
6.00631	0.000596214	0	0	0
6.00704	0.00059602	0	0	0
6.00715	0.000596409	0	0	0
6.00736	0.000600884	0	0	0
6.00722	0.000591739	0	0	0
