a2672317.023913
Narit-cm 23/07/2026 17:02:00 23/07/2026 17:02:39 0045 0013.384714 0052.542598 00.0 00.0
0000152 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 05024 0 0750 3.75 00532.s 0 0 01 000 16 000152 0.500 BT0
1 2 1 04090 0 0750 3.75 00532.s 0 0 01 000 16 000152 0.500 S2A0
1 1 1 05024 0 0750 3.75 00532.s 0 0 00 000 00 000152 3.1746 BC0
1 3 1 04090 0 0750 3.75 00532.s 0 0 00 000 00 000152 3.1746 S2P0
1 5 0 05024 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .s Analog 0 	532.000 .s Analog StErr 0 	532.000 .s Photon Counting 0 	532.000 .s PC StErr 0 	0.000 .o Overflow Info 0 
5.93787	0.00465245	1.31579	0.578218	0
5.93681	0.00454625	2.10526	0.813788	0
5.93415	0.00437061	0.263158	0.256986	0
5.93049	0.00399482	1.57895	0.642465	0
5.9337	0.00426441	2.36842	0.770957	0
5.93802	0.0043992	1.84211	0.685296	0
5.93691	0.00460752	2.10526	0.728127	0
5.93681	0.00438695	0.789474	0.449725	0
5.94093	0.00504458	0.789474	0.449725	0
5.94836	0.00470147	1.84211	0.685296	0
5.94344	0.00467287	1.31579	0.578218	0
5.93952	0.00426032	1.31579	0.578218	0
5.94188	0.0046402	1.31579	0.578218	0
5.93461	0.00437878	1.57895	0.642465	0
5.92863	0.004052	1.31579	0.578218	0
5.93787	0.00448089	1.84211	0.685296	0
5.946	0.0051712	2.89474	0.835204	0
5.94254	0.00481175	1.84211	0.685296	0
5.93927	0.00479133	1.57895	0.642465	0
5.93496	0.00435018	1.84211	0.685296	0
5.93059	0.00479133	1.31579	0.685296	0
5.93636	0.00489753	1.84211	0.685296	0
5.93556	0.00494655	2.36842	0.770957	0
5.93345	0.00433385	1.05263	0.513972	0
5.93551	0.00448498	1.31579	0.578218	0
5.94088	0.00495472	1.84211	0.685296	0
5.94043	0.00460752	2.63158	0.813788	0
5.93767	0.00469738	1.57895	0.642465	0
5.93681	0.00455033	2.10526	0.813788	0
5.93039	0.00408876	1.31579	0.578218	0
5.93802	0.00440328	1.84211	0.685296	0
5.94023	0.00435835	1.05263	0.642465	0
5.93636	0.00464428	1.57895	0.642465	0
5.93797	0.00432976	2.36842	0.770957	0
5.94314	0.00509768	2.10526	0.728127	0
5.94003	0.00442779	2.36842	0.770957	0
5.92713	0.0045585	1.57895	0.642465	0
5.92457	0.00383143	0.789474	0.449725	0
5.93345	0.00398665	1.57895	0.642465	0
5.93636	0.00515078	2.36842	0.770957	0
5.94083	0.0049588	1.84211	0.685296	0
5.93506	0.00453808	0.526316	0.364063	0
5.93375	0.00486894	2.10526	0.728127	0
5.94198	0.00499556	1.57895	0.642465	0
5.93832	0.0049588	2.36842	0.856619	0
5.9338	0.00465245	1.84211	0.685296	0
5.93932	0.00511402	1.84211	0.685296	0
5.94324	0.00481175	2.10526	0.728127	0
5.93285	0.00437061	1.05263	0.513972	0
5.92833	0.00417454	1.31579	0.578218	0
5.92883	0.00374974	0.526316	0.364063	0
5.9339	0.0043461	2.36842	0.856619	0
5.93917	0.00508134	1.05263	0.513972	0
5.93842	0.00456259	2.10526	0.728127	0
5.93365	0.00484443	2.10526	0.813788	0
5.93526	0.00455033	2.10526	0.728127	0
5.93797	0.00455033	1.57895	0.642465	0
5.93335	0.0046402	1.84211	0.685296	0
5.94183	0.00502824	2.63158	0.89945	0
5.94153	0.00458301	1.05263	0.513972	0
5.93174	0.0041868	1.57895	0.642465	0
5.93405	0.00453399	1.05263	0.513972	0
5.93852	0.00428483	1.31579	0.578218	0
5.93255	0.00419088	0.789474	0.449725	0
5.93144	0.0038396	1.84211	0.685296	0
5.93335	0.00391721	1.31579	0.578218	0
5.93124	0.00487711	1.57895	0.642465	0
5.9333	0.00412144	0.789474	0.449725	0
5.93827	0.00403158	2.10526	0.728127	0
5.93772	0.00460752	1.84211	0.685296	0
5.9331	0.00468104	1.57895	0.642465	0
5.92908	0.004293	1.84211	0.770957	0
5.9341	0.00440328	1.57895	0.642465	0
5.93777	0.00513853	2.36842	0.770957	0
5.93476	0.00440737	2.10526	0.728127	0
5.92768	0.00351282	1.84211	0.685296	0
5.93069	0.00396214	1.05263	0.513972	0
5.93661	0.00437878	1.84211	0.685296	0
5.93641	0.00527332	2.89474	0.835204	0
5.93827	0.00527332	1.31579	0.578218	0
5.93139	0.004052	0.526316	0.364063	0
5.92818	0.00375382	1.57895	0.642465	0
5.93526	0.0041868	2.63158	0.813788	0
5.94259	0.00452174	2.36842	0.856619	0
5.93551	0.00475865	2.10526	0.728127	0
5.93576	0.00518754	2.36842	0.856619	0
5.94058	0.00473006	2.36842	0.770957	0
5.93405	0.00392129	1.05263	0.513972	0
5.93646	0.00414187	2.89474	0.920866	0
5.93907	0.00486077	1.31579	0.578218	0
5.93466	0.00392946	1.57895	0.642465	0
5.92778	0.00403975	1.31579	0.578218	0
5.93676	0.00467696	2.89474	0.920866	0
5.93245	0.00446864	1.84211	0.685296	0
5.93576	0.00504049	1.57895	0.642465	0
5.9335	0.00468513	2.10526	0.728127	0
5.92572	0.00437061	0.526316	0.364063	0
5.92908	0.00409693	1.05263	0.513972	0
5.93962	0.00526924	2.89474	0.920866	0
5.93425	0.0049057	1.05263	0.513972	0
5.92833	0.00421539	0.789474	0.449725	0
5.93581	0.00501599	3.42105	0.920866	0
5.94369	0.00529374	1.84211	0.685296	0
5.93671	0.00520797	2.63158	0.813788	0
5.93651	0.00435835	0.789474	0.449725	0
5.9327	0.00449315	2.36842	0.770957	0
5.933	0.00439103	1.31579	0.578218	0
5.92928	0.00418271	1.57895	0.642465	0
5.93461	0.00436244	1.31579	0.578218	0
5.93315	0.004052	0.526316	0.364063	0
5.93546	0.00449723	2.36842	0.770957	0
5.94178	0.00422356	2.89474	0.835204	0
5.93636	0.00526924	2.89474	0.920866	0
5.93129	0.00488528	1.05263	0.513972	0
5.93531	0.00460343	0.789474	0.449725	0
5.9335	0.00464837	1.57895	0.728127	0
5.93591	0.00496289	2.10526	0.728127	0
5.93892	0.00492612	1.05263	0.513972	0
5.93616	0.00459935	1.57895	0.728127	0
5.93385	0.00441554	1.84211	0.685296	0
5.93787	0.00494246	1.31579	0.578218	0
5.94058	0.00512627	3.15789	0.963697	0
5.93265	0.00452583	2.89474	0.835204	0
5.9341	0.00503641	2.36842	0.770957	0
5.93455	0.00500782	1.57895	0.642465	0
5.92738	0.00415003	1.05263	0.513972	0
5.93074	0.00478316	2.89474	0.835204	0
5.93742	0.00472597	1.31579	0.578218	0
5.92863	0.00430525	1.05263	0.513972	0
5.92773	0.00402341	1.05263	0.513972	0
5.93922	0.00457484	2.10526	0.728127	0
5.94058	0.00440328	1.31579	0.578218	0
5.93445	0.00449723	1.31579	0.578218	0
5.93445	0.00463203	2.10526	0.728127	0
5.93696	0.00484035	1.57895	0.728127	0
5.93852	0.00521205	2.10526	0.728127	0
5.93496	0.00432568	1.05263	0.513972	0
5.93762	0.00439103	2.63158	0.813788	0
5.93967	0.0056246	1.84211	0.685296	0
5.93466	0.00468104	1.84211	0.685296	0
5.93315	0.00509768	2.10526	0.728127	0
5.94043	0.00544488	2.63158	0.813788	0
5.93571	0.00463203	1.57895	0.642465	0
5.93184	0.00476274	1.57895	0.642465	0
5.933	0.00471781	0.789474	0.449725	0
5.93245	0.00499556	2.10526	0.728127	0
5.93586	0.00468513	1.57895	0.642465	0
5.93215	0.00403158	1.31579	0.578218	0
5.92793	0.00423173	0.789474	0.449725	0
5.9339	0.0037334	0.789474	0.449725	0
5.93596	0.00443596	1.84211	0.770957	0
5.93275	0.00482401	1.57895	0.642465	0
5.92843	0.00398665	0.526316	0.364063	0
5.9328	0.0045871	1.84211	0.685296	0
5.93215	0.00404383	1.31579	0.578218	0
5.92733	0.00421947	1.84211	0.685296	0
5.93616	0.00527332	1.84211	0.770957	0
5.92989	0.00468921	1.31579	0.578218	0
5.92903	0.00463611	1.57895	0.642465	0
5.92999	0.00452583	2.36842	0.856619	0
5.93024	0.00493838	1.31579	0.578218	0
5.93345	0.00461977	1.31579	0.578218	0
5.94228	0.00475865	2.10526	0.728127	0
5.94118	0.00555108	1.57895	0.642465	0
5.93114	0.00429708	1.05263	0.513972	0
5.92587	0.00448498	2.10526	0.728127	0
5.9339	0.00430117	1.84211	0.685296	0
5.92758	0.0043461	1.05263	0.513972	0
5.92652	0.00487302	2.10526	0.728127	0
5.93621	0.00468104	2.36842	0.770957	0
5.93621	0.00478724	2.10526	0.728127	0
5.92843	0.00394989	0.789474	0.449725	0
5.93144	0.00473006	1.84211	0.685296	0
5.93882	0.00528966	1.57895	0.642465	0
5.92878	0.00431751	0.789474	0.449725	0
5.93079	0.00410102	1.31579	0.578218	0
5.93646	0.00424398	1.31579	0.578218	0
5.93872	0.00450949	2.63158	0.89945	0
5.93993	0.00464428	1.84211	0.685296	0
5.93581	0.00461977	1.57895	0.642465	0
5.92999	0.00460752	1.57895	0.642465	0
5.93069	0.00443188	1.31579	0.578218	0
5.93681	0.00437061	1.57895	0.642465	0
5.93471	0.00473006	3.15789	0.878035	0
5.9338	0.00451357	1.05263	0.513972	0
5.92994	0.00491387	1.84211	0.685296	0
5.93139	0.00454216	1.84211	0.685296	0
5.93215	0.00446047	1.57895	0.642465	0
5.93139	0.0045871	1.84211	0.685296	0
5.93305	0.0038927	1.31579	0.578218	0
5.93506	0.00503641	2.10526	0.728127	0
5.93927	0.00457076	2.89474	0.920866	0
5.93676	0.00470147	1.05263	0.513972	0
5.9341	0.00461977	3.15789	0.878035	0
5.93395	0.00431342	1.31579	0.578218	0
5.92888	0.00395805	0.789474	0.449725	0
5.92427	0.00353325	1.05263	0.513972	0
5.92783	0.00401524	1.57895	0.642465	0
5.9339	0.00441145	2.89474	0.835204	0
5.93656	0.00472189	2.63158	0.813788	0
